AREA_NM,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MIN,AREA_PPLTN_MAX,MALE_PPLTN_RATE,FEMALE_PPLTN_RATE,PPLTN_RATE_0,PPLTN_RATE_10,PPLTN_RATE_20,PPLTN_RATE_30,PPLTN_RATE_40,PPLTN_RATE_50,PPLTN_RATE_60,PPLTN_RATE_70,RESNT_PPLTN_RATE,NON_RESNT_PPLTN_RATE,REPLACE_YN,PPLTN_TIME,WEATHER_TIME,TEMP,SENSIBLE_TEMP,MAX_TEMP,MIN_TEMP,HUMIDITY,WIND_DIRCT,WIND_SPD,PRECIPITATION,PRECPT_TYPE,PCP_MSG,SUNRISE,SUNSET,UV_INDEX_LVL,UV_INDEX,UV_MSG,PM25_INDEX,PM25,PM10_INDEX,PM10,AIR_IDX,AIR_IDX_MVL,AIR_IDX_MAIN,AIR_MSG,NOW
노량진,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,12000,14000,54,46,0,3,37,19,14,12,9,6,27,73,N,2022-12-19 14:15,2022-12-19 14:51,-3.7,-3.2,-2,-10,31,N,1.7,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,9,좋음,20,보통,61,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
낙산공원·이화마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,100,200,50,50,1,5,22,15,16,19,11,12,42,58,N,2022-12-19 14:15,2022-12-19 14:51,-2.6,-2.7,-3,-12,44,S,2.3,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,16,좋음,24,보통,68,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
북촌한옥마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,47,53,0,8,16,20,20,18,11,6,39,61,N,2022-12-19 14:15,2022-12-19 14:51,-2.6,-2.7,-3,-12,44,S,2.3,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,18,보통,75,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
가로수길,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,30000,32000,43,57,0,5,26,27,19,12,7,4,30,70,N,2022-12-19 14:15,2022-12-19 14:51,-2.4,-2.3,-2,-10,31,SSE,2.2,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,18,보통,58,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
성수카페거리,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,10000,12000,51,49,0,3,29,28,18,13,6,2,32,68,N,2022-12-19 14:15,2022-12-19 14:51,-2.4,-2.3,-2,-10,31,SSE,2.2,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,8,좋음,21,보통,76,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
수유리 먹자골목,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,46,54,0,5,20,15,17,18,14,11,33,67,N,2022-12-19 14:15,2022-12-19 14:51,-3.4,-3.5,-1,-11,37,SE,2.3,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,14,좋음,25,보통,65,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
쌍문동 맛집거리,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3500,4000,45,55,0,10,15,15,14,18,15,12,26,74,N,2022-12-19 14:15,2022-12-19 14:51,-3.4,-3.5,-1,-11,37,SE,2.3,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,19,좋음,23,보통,73,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
압구정로데오거리,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,26000,28000,41,59,0,4,29,28,19,11,6,3,33,67,N,2022-12-19 14:15,2022-12-19 14:51,-2.4,-2.3,-2,-10,31,SSE,2.2,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,18,보통,58,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
여의도,매우 붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,140000,145000,55,45,0,3,20,30,25,14,6,3,45,55,N,2022-12-19 14:15,2022-12-19 14:51,-3.6,-3.9,-2,-10,39,SE,2.5,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,19,보통,70,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
영등포 타임스퀘어,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,16000,18000,40,60,0,4,23,22,17,16,11,7,23,77,N,2022-12-19 14:15,2022-12-19 14:51,-3.6,-3.9,-2,-10,39,SE,2.5,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,19,보통,70,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
인사동·익선동,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,24000,26000,52,48,0,3,20,21,18,16,12,10,33,67,N,2022-12-19 14:15,2022-12-19 14:51,-2.6,-2.7,-3,-12,44,S,2.3,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,18,보통,75,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
국립중앙박물관·용산가족공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,43,57,0,19,13,17,17,15,11,6,10,90,N,2022-12-19 14:15,2022-12-19 14:51,-2.9,-2.7,-2,-11,38,E,2,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,15,좋음,25,보통,65,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
남산공원,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,18000,49,51,0,4,23,21,20,17,10,5,27,73,N,2022-12-19 14:15,2022-12-19 14:51,-2.6,-2.7,-3,-12,44,S,2.3,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,18,좋음,22,보통,78,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
뚝섬한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,51,49,0,3,19,21,16,18,13,9,23,77,N,2022-12-19 14:15,2022-12-19 14:51,-2.4,-2.3,-2,-10,31,SSE,2.2,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,14,좋음,19,좋음,43,NO2,대기질에 이상이 없어요.,2022-12-19 14:51
망원한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,800,900,52,48,0,3,18,23,17,18,11,10,24,76,N,2022-12-19 14:15,2022-12-19 14:51,-3.6,-3.9,-2,-10,39,SE,2.5,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,16,좋음,22,보통,53,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
반포한강공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2000,2500,61,39,0,4,13,20,20,24,14,5,3,97,N,2022-12-19 14:15,2022-12-19 14:51,-2.3,-1.1,-2,-11,43,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,12,보통,44,좋음,50,NO2,대기질에 이상이 없어요.,2022-12-19 14:51
북서울꿈의숲,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,47,53,1,7,13,15,17,19,16,13,39,61,N,2022-12-19 14:15,2022-12-19 14:51,-3.4,-3.5,-1,-11,37,SE,2.3,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,14,좋음,25,보통,65,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
서울대공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,46,54,1,5,19,17,17,17,13,11,20,80,N,2022-12-19 14:15,2022-12-19 14:51,-2.8,-3,-2,-10,37,SE,2.4,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,12,보통,44,좋음,50,NO2,대기질에 이상이 없어요.,2022-12-19 14:51
서울숲공원,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,10000,12000,54,46,0,4,20,24,19,17,11,5,24,76,N,2022-12-19 14:15,2022-12-19 14:51,-2.4,-2.3,-2,-10,31,SSE,2.2,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,8,좋음,21,보통,76,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
월드컵공원,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4000,4500,56,44,0,3,13,18,22,22,13,9,15,85,N,2022-12-19 14:15,2022-12-19 14:51,-2.5,-1.3,-2,-11,35,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,16,좋음,22,보통,53,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
